Customer_ID,Purchase_Amount,Product_Category,Shipping_Method,Delivery_Time_Days,Customer_Review_Score,Product_Size,Discount_Applied,Order_Date,Return_Status
3b31f776-d71a-420d-8d53-d07071a71629,46.93,Home,Express,4,4.6,Small,0,2024-12-08,0
e5394a40-6f2a-476a-8553-ef8b427dcd39,301.01,Home,Standard,5,2.6,Medium,0,2024-12-27,0
97c087b3-3b52-4071-a55e-2d7837d57622,131.67,Beauty,Overnight,7,3.7,Small,1,2025-04-26,0
faa8270e-6877-4cf0-a94c-f0577f075324,91.29,Home,Express,6,3.8,Medium,1,2024-06-28,0
fd979212-8749-4b3c-b911-76524e04fae2,16.96,Sports,Express,4,5,Large,0,2024-06-07,0
e0845200-d641-4770-8817-eca216f71f48,16.96,Home,Two-Day,9,4.1,Large,1,2024-09-18,0
535deac8-a2d8-4d0b-9d0b-c652e5d91de7,5.98,Sports,Express,5,5,Small,0,2025-02-07,0
cba33fe9-3bc2-4b2a-a96e-f2102fd280e2,201.12,Home,Overnight,6,3.3,Medium,1,2025-03-07,1
fca4bd39-8f28-4e36-80d4-8fcce4337240,91.91,Sports,Two-Day,0,4.5,Medium,1,2024-07-15,0
c6ca29b1-b4ff-4869-8e51-0f6c305caac7,123.13,Home,Two-Day,6,2.6,Small,1,2024-06-09,0
6b2838be-efff-4641-bf7a-e91f1c66c149,2.08,Home,Two-Day,8,4.6,Medium,0,2025-01-16,0
0494b6f2-743b-427b-bcd8-667fe8640e84,350.36,Clothing,Standard,4,3.6,Medium,0,2024-11-15,1
bfe76643-f363-4634-91da-0b76db90fbd1,178.64,Sports,Two-Day,6,3.7,Small,0,2024-07-23,1
df684531-f4fb-465e-8a44-4a894aa1c7c8,23.87,Sports,Express,3,4.7,Small,0,2024-08-25,0
8122aff5-a318-432d-816c-f73823c79922,20.07,Sports,Standard,3,4.8,Small,0,2025-04-12,1
8ac6543c-78b8-4da5-a141-33ed79f80a3a,20.26,Electronics,Standard,7,4.3,Medium,0,2024-11-05,0
ec312858-0220-4e46-bf20-8cb0ee26f4b8,36.28,Home,Standard,4,5,Small,0,2024-09-29,0
a120da86-9ff2-466c-9ce1-367f477fd46a,74.39,Sports,Standard,2,4.1,Small,1,2024-07-26,0
4165f347-867f-4f04-b7f3-74353aa00409,56.55,Electronics,Standard,1,4.3,Small,1,2024-07-17,0
82ab4795-1e25-48a5-a256-5e302d62821d,34.42,Clothing,Standard,7,4.3,Small,0,2025-05-09,1
ff718d36-0ae1-4b99-a27f-3bfd9cd0e315,94.64,Sports,Standard,2,4.7,Large,1,2024-11-07,0
8c813af9-9f5e-47b7-9940-51a3029d75c8,15.02,Sports,Two-Day,5,4,Large,0,2024-07-24,1
66f6fe09-8ef9-49af-8e04-a7749c46774b,34.55,Electronics,Overnight,6,3,Large,0,2024-12-24,0
b4633857-8dfe-4c6f-8298-c99a6439129c,45.63,Home,Express,7,4.4,Small,0,2025-01-20,0
4920df6c-27be-47ed-89ae-bf082fd1faa5,60.89,Clothing,Express,5,2.5,Medium,0,2024-07-22,0
ebb220af-35bf-4ff7-b9ce-db2774148f03,153.79,Sports,Two-Day,5,4.9,Large,0,2024-07-26,0
d8a58804-ae2f-41c9-bd0a-be50d51e8525,22.27,Home,Two-Day,8,5,Small,0,2024-08-20,1
c520f4e7-560c-4991-b702-6849fd974b61,72.2,Clothing,Standard,5,3.5,Large,0,2025-01-17,0
f077780e-3894-49cc-b100-1f32880c69e9,89.75,Beauty,Overnight,6,3.5,Large,1,2024-07-09,0
a484e6df-02bc-4065-a2b5-d2b3dd903ae3,4.76,Beauty,Standard,3,2,Small,0,2025-04-20,0
03b06b26-4814-483b-9a8c-b3e4b09aaaea,93.53,Clothing,Two-Day,9,3.9,Small,0,2024-06-16,0
b7f3f6da-49e0-441d-902b-50da7aa2b8d5,18.7,Electronics,Standard,5,4.4,Large,0,2024-12-09,1
6490cb18-d268-4d16-ae54-f3543e51d933,6.73,Clothing,Express,5,4.3,Small,1,2024-09-25,0
e8f33692-d52c-43cb-8f06-e9dcf73f61b9,297.37,Clothing,Express,7,4.3,Large,0,2024-08-19,0
a014fcb7-6518-4729-a5b8-d6e682a4a513,337.06,Electronics,Standard,4,3.7,Large,0,2025-05-01,0
369dc9a4-041a-4bff-9b5c-a833e7d02ae4,165.23,Electronics,Overnight,6,4.9,Large,0,2025-02-04,0
bcc05c89-19fd-49f4-a4db-464220be93cd,36.33,Home,Standard,4,3,Large,0,2025-05-02,0
9f9fd316-e2e4-43d0-b76c-b0a64e2de21e,10.28,Home,Standard,5,3.1,Medium,0,2025-02-02,0
5ee16ccd-9aa4-4da3-9ba7-6b495889efbd,115.28,Electronics,Overnight,6,2.7,Medium,0,2025-03-16,0
af0d1856-84bd-475c-a176-a034c6230988,58.01,Beauty,Overnight,2,3.3,Small,0,2025-02-27,0
c581fd24-4f93-462f-aab2-2423a1b1a721,13.02,Beauty,Overnight,9,2.9,Medium,0,2025-01-01,0
3a8b43d9-6d47-4d58-a393-872a0d9ab0a1,68.35,Clothing,Express,2,1.7,Medium,0,2024-07-28,0
1371d6f7-57b6-4f87-93a9-3e45b4673629,3.5,Sports,Standard,5,3.3,Small,1,2024-06-26,0
19125dce-3a6d-4ff8-bc1c-26b7e285fa85,240.04,Clothing,Two-Day,5,4.8,Large,0,2024-09-04,0
