Influencer_ID,Followers,Engagement_Rate,Growth_Rate,Niche,Video_Quality,Avg_Views_per_Post,Sponsorship_Status
1,1693743,0.183,0.023,Gaming,SD,211075,1
2,4305572,0.014,0.037,Travel,4K,183248,0
3,4927484,0.07,0.019,Beauty,SD,18762,0
4,2235489,0.021,0.002,Fashion,HD,102909,0
5,1571006,0.156,0.006,Tech,HD,217122,0
6,1137074,0.143,0.025,Gaming,HD,155626,0
7,4045887,0.073,0.035,Education,HD,489207,0
8,1240911,0.138,0.017,Fitness,HD,416767,0
9,4473471,0.085,0.035,Gaming,4K,422101,0
10,2139242,0.154,0.035,Tech,SD,36087,0
11,4524669,0.096,0.035,Education,SD,129095,0
12,4982505,0.088,0.025,Travel,4K,55631,1
13,1767891,0.188,0.046,Food,4K,93519,1
14,4522373,0.058,0.025,Beauty,4K,421369,0
15,3345769,0.033,0.023,Beauty,SD,176362,0
16,792743,0.121,0.011,Fitness,SD,42518,0
17,104355,0.194,0.016,Beauty,HD,228002,0
18,1263752,0.082,0.003,Fitness,SD,117677,0
19,1397025,0.022,0.032,Education,SD,192564,0
20,1308371,0.074,0.013,Travel,4K,489094,0
21,918040,0.106,0.016,Fitness,SD,448556,0
22,2254882,0.041,0.039,Fashion,HD,347828,1
23,3531409,0.135,0.017,Tech,SD,97792,0
24,4850115,0.2,0.013,Education,4K,481659,0
25,4722339,0.096,0.009,Beauty,4K,45061,0
26,4843447,0.077,0.039,Fitness,HD,117481,0
27,1501942,0.086,0.007,Gaming,HD,476310,1
28,4261029,0.032,0.023,Food,SD,141642,1
29,3276709,0.178,0.026,Tech,HD,170597,0
30,85654,0.089,0.035,Travel,HD,34279,1
31,1955354,0.084,0.032,Beauty,4K,255245,1
32,2417182,0.135,0.041,Gaming,4K,410332,0
33,3475675,0.094,0.003,Fashion,SD,96409,0
34,2653991,0.133,0.016,Fitness,SD,118215,1
35,2429388,0.022,0.015,Gaming,SD,249869,0
36,529178,0.165,0.008,Tech,SD,100977,0
37,2664046,0.189,0.015,Beauty,4K,102188,0
38,2587644,0.133,0.016,Gaming,SD,259058,1
39,2571406,0.191,0.027,Fashion,SD,260055,1
40,3417664,0.039,0.034,Food,HD,379660,1
41,3386659,0.101,0.02,Education,SD,132369,1
42,3386357,0.124,0.036,Fitness,HD,171461,1
43,2796513,0.121,0.017,Tech,4K,458106,1
44,1466689,0.086,0.015,Beauty,SD,407310,1
45,69148,0.074,0.028,Education,HD,48254,1
46,1826665,0.034,0.002,Fitness,SD,249944,0
47,2746683,0.084,0.005,Fitness,HD,54139,1
48,3398723,0.041,0.021,Travel,SD,204798,1
49,3004758,0.15,0.047,Fitness,4K,13169,1
50,4057518,0.05,0.036,Gaming,4K,391883,1
51,2670995,0.021,0.005,Gaming,HD,347153,1
52,4451812,0.115,0.042,Education,HD,152657,1
53,4998895,0.123,0.037,Food,4K,29287,0
54,4799669,0.176,0.031,Fashion,SD,222192,0
55,1871928,0.12,0.041,Beauty,HD,286695,0
56,4156299,0.076,0.021,Education,4K,187138,0
57,2558489,0.163,0.012,Beauty,HD,51115,0
58,1774415,0.113,0.026,Education,4K,208662,0
59,2306413,0.025,0.028,Tech,4K,183834,0
60,3911197,0.118,0.027,Gaming,HD,431355,1
61,272836,0.183,0.029,Fitness,HD,210462,0
62,3585702,0.085,0.047,Fashion,4K,399005,1
63,2096505,0.066,0.045,Education,SD,119623,1
64,2300435,0.037,0.044,Tech,4K,418460,0
65,197769,0.039,0.04,Beauty,SD,391458,0
66,2659505,0.092,0.047,Tech,SD,18445,1
67,1272741,0.123,0.006,Tech,SD,221351,1
68,3770315,0.025,0.014,Beauty,HD,376779,0
69,1047797,0.189,0.025,Tech,4K,253065,0
70,3048262,0.153,0.042,Food,4K,450680,0
71,1585398,0.121,0.026,Tech,SD,236162,0
72,2586031,0.167,0.038,Fashion,SD,155799,0
73,565685,0.025,0.008,Education,SD,224856,0
74,2880190,0.101,0.013,Gaming,4K,345138,1
75,1312736,0.13,0.037,Fashion,SD,403650,1
76,1008293,0.167,0.009,Fitness,4K,439246,1
77,4775183,0.159,0.018,Travel,4K,53668,1
78,3367612,0.063,0.014,Food,HD,76586,1
79,24247,0.189,0.018,Food,SD,458811,1
80,2705238,0.034,0.036,Fitness,SD,122415,0
81,2631708,0.176,0.019,Beauty,SD,332204,0
82,3495679,0.194,0.028,Fashion,HD,32272,1
83,1768640,0.044,0.006,Fashion,SD,402438,1
84,2614740,0.147,0.04,Fitness,4K,181714,0
85,1286160,0.018,0.019,Beauty,SD,68156,0
86,1426472,0.087,0.033,Travel,4K,358269,1
87,49984,0.108,0.037,Tech,4K,87384,0
88,2401070,0.12,0.011,Beauty,4K,117629,0
89,3266879,0.188,0.044,Education,4K,137449,1
90,1505384,0.138,0.031,Tech,SD,281548,0
91,2231919,0.101,0.022,Education,HD,348972,1
92,1753126,0.164,0.01,Gaming,HD,485289,1
93,4331634,0.191,0.047,Fashion,4K,214443,0
94,1738095,0.014,0.038,Fashion,SD,80695,0
95,2112138,0.197,0.011,Fitness,HD,161256,0
96,4781450,0.026,0.018,Fitness,SD,329144,0
97,2110818,0.165,0.041,Tech,HD,35402,1
98,2232785,0.063,0.035,Beauty,4K,316250,0
99,4484302,0.035,0.039,Fashion,4K,124074,0
100,2949089,0.094,0.023,Fashion,4K,232120,0
101,2726928,0.132,0.036,Food,HD,36071,0
102,3854339,0.082,0.02,Education,SD,332091,0
103,1844400,0.02,0.011,Gaming,4K,77252,1
104,1080111,0.124,0.032,Gaming,SD,460660,0
105,997107,0.181,0.049,Education,SD,349801,0
106,3522441,0.083,0.016,Tech,4K,218085,0
107,4546583,0.051,0.024,Travel,HD,210303,1
108,1871230,0.094,0.034,Beauty,4K,175510,0
109,3748389,0.019,0.028,Fashion,4K,57703,1
110,4143807,0.166,0.042,Food,HD,58305,0
111,4684874,0.167,0.038,Beauty,SD,237539,1
112,3603279,0.122,0.004,Fashion,HD,239685,0
113,2122690,0.077,0.05,Fitness,HD,73149,1
114,2992650,0.162,0.038,Beauty,4K,392938,1
115,492234,0.115,0.043,Tech,HD,41410,1
116,1949260,0.167,0.033,Beauty,HD,416477,0
117,4334486,0.13,0.043,Travel,HD,287636,1
118,1522101,0.159,0.007,Beauty,SD,210886,1
119,4379368,0.124,0.018,Beauty,SD,350165,0
120,4409324,0.089,0.044,Beauty,4K,55948,0
121,3137729,0.192,0.011,Gaming,4K,70403,1
122,898421,0.113,0.005,Fashion,SD,439163,0
123,123409,0.125,0.04,Travel,HD,273430,1
124,2017716,0.052,0.042,Education,4K,111816,0
125,2351770,0.129,0.009,Tech,4K,43206,0
126,770598,0.119,0.043,Education,HD,372641,1
127,3268824,0.045,0.035,Gaming,HD,490160,0
128,3332068,0.021,0.026,Fashion,HD,339231,1
129,3257415,0.125,0.042,Food,HD,233854,1
130,875371,0.155,0.022,Tech,HD,278255,1
131,2833868,0.109,0.011,Fashion,SD,267134,1
132,3873998,0.053,0.015,Gaming,HD,312648,1
133,974548,0.137,0.026,Gaming,4K,454350,0
134,3345014,0.025,0.027,Food,SD,97349,1
135,1214475,0.094,0.04,Tech,4K,129713,0
136,3471495,0.041,0.04,Tech,HD,137949,0
137,2960034,0.045,0.029,Travel,4K,272547,0
138,4575293,0.048,0.039,Fashion,HD,146139,1
139,44585,0.083,0.01,Travel,4K,219993,0
140,3058213,0.02,0.003,Gaming,4K,256977,0
141,2540448,0.086,0.044,Education,HD,487474,1
142,110556,0.107,0.005,Gaming,4K,254374,0
143,1576557,0.102,0.013,Beauty,SD,442272,1
144,4028419,0.083,0.035,Food,4K,289250,1
145,4395539,0.169,0.021,Food,SD,123616,0
146,2124091,0.038,0.044,Education,SD,476692,0
147,2010021,0.106,0.016,Education,4K,133832,1
148,1202482,0.022,0.002,Tech,SD,161839,0
149,543335,0.024,0.016,Education,SD,486254,0
150,3434977,0.119,0.029,Travel,4K,189941,0
151,4271070,0.118,0.019,Gaming,HD,443776,0
152,3561920,0.177,0.027,Beauty,HD,17333,0
153,2485413,0.116,0.044,Fashion,SD,115756,0
154,2908360,0.192,0.046,Beauty,SD,3998,1
155,2783592,0.019,0.014,Fitness,HD,388384,0
156,2236000,0.029,0.024,Fashion,SD,196882,1
157,4323252,0.018,0.028,Food,HD,440445,0
158,403690,0.045,0.048,Fashion,4K,11018,0
159,4694350,0.113,0.05,Education,SD,209609,1
160,2549421,0.133,0.013,Gaming,4K,22754,1
161,4217263,0.019,0.037,Travel,HD,231184,1
162,3807618,0.19,0.02,Education,HD,81938,1
163,1955109,0.17,0.001,Education,4K,230593,1
164,4423880,0.066,0.001,Beauty,SD,419261,0
165,3113754,0.025,0.024,Tech,4K,397061,1
166,1385250,0.042,0.025,Travel,4K,212478,1
167,4026717,0.034,0.002,Fitness,SD,261466,1
168,62087,0.033,0.035,Tech,HD,450082,1
169,1497176,0.109,0.015,Fitness,4K,253942,1
170,1887013,0.057,0.028,Fitness,4K,178293,0
171,4635096,0.078,0.016,Gaming,HD,322473,1
172,40353,0.198,0.009,Gaming,4K,356411,1
173,3361011,0.14,0.021,Education,HD,107899,1
174,4260622,0.19,0.012,Food,SD,10142,1
175,4960617,0.037,0.027,Food,HD,346019,0
176,417880,0.083,0.011,Fitness,HD,89717,1
177,4966050,0.115,0.026,Travel,4K,458249,1
178,814168,0.025,0.009,Food,HD,204143,1
179,226281,0.011,0.034,Gaming,HD,392056,0
180,3118697,0.137,0.038,Food,4K,184954,1
181,3783875,0.132,0.006,Fitness,HD,427015,0
182,2996765,0.088,0.024,Beauty,4K,166607,1
